image_id,image_path,bbox_left,bbox_top,bbox_width,bbox_height,score,object_category
0000249_00001_d_0000001,D:\Projects\enemy_detection_project\data\images\0000249_00001_d_0000001.jpg,309.0,215.0,10.0,9.0,1.0,4
0000271_07001_d_0000407,D:\Projects\enemy_detection_project\data\images\0000271_07001_d_0000407.jpg,142.0,718.0,162.0,47.0,1.0,4
0000213_02500_d_0000240,D:\Projects\enemy_detection_project\data\images\0000213_02500_d_0000240.jpg,614.0,59.0,13.0,12.0,1.0,4
0000023_00868_d_0000010,D:\Projects\enemy_detection_project\data\images\0000023_00868_d_0000010.jpg,175.0,311.0,64.0,70.0,1.0,10
0000295_01800_d_0000030,D:\Projects\enemy_detection_project\data\images\0000295_01800_d_0000030.jpg,999.0,426.0,9.0,28.0,1.0,1
0000213_03478_d_0000242,D:\Projects\enemy_detection_project\data\images\0000213_03478_d_0000242.jpg,790.0,118.0,22.0,16.0,1.0,10
0000312_01201_d_0000420,D:\Projects\enemy_detection_project\data\images\0000312_01201_d_0000420.jpg,774.0,683.0,85.0,82.0,1.0,4
0000335_03137_d_0000059,D:\Projects\enemy_detection_project\data\images\0000335_03137_d_0000059.jpg,565.0,378.0,16.0,21.0,1.0,2
0000026_03500_d_0000031,D:\Projects\enemy_detection_project\data\images\0000026_03500_d_0000031.jpg,1227.0,427.0,133.0,86.0,1.0,4
0000117_00112_d_0000087,D:\Projects\enemy_detection_project\data\images\0000117_00112_d_0000087.jpg,260.0,75.0,11.0,25.0,1.0,1
0000289_04801_d_0000835,D:\Projects\enemy_detection_project\data\images\0000289_04801_d_0000835.jpg,529.0,50.0,34.0,32.0,1.0,4
0000295_01600_d_0000029,D:\Projects\enemy_detection_project\data\images\0000295_01600_d_0000029.jpg,729.0,289.0,18.0,11.0,1.0,4
0000290_04001_d_0000867,D:\Projects\enemy_detection_project\data\images\0000290_04001_d_0000867.jpg,833.0,190.0,55.0,23.0,1.0,4
0000295_01400_d_0000028,D:\Projects\enemy_detection_project\data\images\0000295_01400_d_0000028.jpg,453.0,248.0,26.0,10.0,1.0,4
0000287_00001_d_0000759,D:\Projects\enemy_detection_project\data\images\0000287_00001_d_0000759.jpg,264.0,373.0,21.0,25.0,1.0,3
0000327_00801_d_0000715,D:\Projects\enemy_detection_project\data\images\0000327_00801_d_0000715.jpg,207.0,302.0,18.0,33.0,1.0,2
0000244_01500_d_0000004,D:\Projects\enemy_detection_project\data\images\0000244_01500_d_0000004.jpg,509.0,361.0,22.0,32.0,1.0,5
0000360_03333_d_0000730,D:\Projects\enemy_detection_project\data\images\0000360_03333_d_0000730.jpg,243.0,480.0,24.0,26.0,1.0,2
0000327_01401_d_0000718,D:\Projects\enemy_detection_project\data\images\0000327_01401_d_0000718.jpg,487.0,372.0,39.0,54.0,1.0,4
0000001_05249_d_0000009,D:\Projects\enemy_detection_project\data\images\0000001_05249_d_0000009.jpg,771.0,404.0,66.0,71.0,1.0,4
0000312_02201_d_0000425,D:\Projects\enemy_detection_project\data\images\0000312_02201_d_0000425.jpg,1282.0,639.0,27.0,39.0,1.0,1
0000360_03137_d_0000729,D:\Projects\enemy_detection_project\data\images\0000360_03137_d_0000729.jpg,1019.0,10.0,33.0,18.0,1.0,4
0000289_05601_d_0000839,D:\Projects\enemy_detection_project\data\images\0000289_05601_d_0000839.jpg,382.0,540.0,21.0,54.0,1.0,1
0000303_03401_d_0000200,D:\Projects\enemy_detection_project\data\images\0000303_03401_d_0000200.jpg,758.0,438.0,11.0,20.0,1.0,1
0000327_00801_d_0000715,D:\Projects\enemy_detection_project\data\images\0000327_00801_d_0000715.jpg,439.0,682.0,22.0,69.0,1.0,10
0000193_02606_d_0000117,D:\Projects\enemy_detection_project\data\images\0000193_02606_d_0000117.jpg,464.0,275.0,10.0,18.0,1.0,10
0000055_00714_d_0000110,D:\Projects\enemy_detection_project\data\images\0000055_00714_d_0000110.jpg,546.0,161.0,21.0,45.0,1.0,1
0000289_04601_d_0000834,D:\Projects\enemy_detection_project\data\images\0000289_04601_d_0000834.jpg,708.0,27.0,27.0,19.0,1.0,3
0000295_01000_d_0000026,D:\Projects\enemy_detection_project\data\images\0000295_01000_d_0000026.jpg,725.0,261.0,7.0,17.0,1.0,1
0000287_02801_d_0000773,D:\Projects\enemy_detection_project\data\images\0000287_02801_d_0000773.jpg,945.0,32.0,9.0,21.0,1.0,1
0000291_01401_d_0000875,D:\Projects\enemy_detection_project\data\images\0000291_01401_d_0000875.jpg,137.0,261.0,69.0,29.0,1.0,7
0000327_02801_d_0000725,D:\Projects\enemy_detection_project\data\images\0000327_02801_d_0000725.jpg,760.0,430.0,12.0,25.0,1.0,2
0000313_06401_d_0000468,D:\Projects\enemy_detection_project\data\images\0000313_06401_d_0000468.jpg,757.0,526.0,19.0,18.0,1.0,4
0000223_01802_d_0000005,D:\Projects\enemy_detection_project\data\images\0000223_01802_d_0000005.jpg,899.0,753.0,78.0,92.0,1.0,4
0000291_00401_d_0000870,D:\Projects\enemy_detection_project\data\images\0000291_00401_d_0000870.jpg,658.0,350.0,19.0,23.0,1.0,7
0000277_03201_d_0000554,D:\Projects\enemy_detection_project\data\images\0000277_03201_d_0000554.jpg,614.0,165.0,71.0,32.0,1.0,4
0000312_02401_d_0000426,D:\Projects\enemy_detection_project\data\images\0000312_02401_d_0000426.jpg,78.0,193.0,27.0,26.0,1.0,10
0000313_06401_d_0000468,D:\Projects\enemy_detection_project\data\images\0000313_06401_d_0000468.jpg,770.0,562.0,46.0,22.0,1.0,4
0000333_01765_d_0000010,D:\Projects\enemy_detection_project\data\images\0000333_01765_d_0000010.jpg,847.0,244.0,8.0,10.0,1.0,1
0000244_01000_d_0000003,D:\Projects\enemy_detection_project\data\images\0000244_01000_d_0000003.jpg,271.0,154.0,12.0,18.0,1.0,6
0000117_00112_d_0000087,D:\Projects\enemy_detection_project\data\images\0000117_00112_d_0000087.jpg,269.0,169.0,13.0,33.0,1.0,1
0000280_00001_d_0000612,D:\Projects\enemy_detection_project\data\images\0000280_00001_d_0000612.jpg,1132.0,561.0,49.0,86.0,1.0,7
0000359_02353_d_0000708,D:\Projects\enemy_detection_project\data\images\0000359_02353_d_0000708.jpg,570.0,260.0,23.0,22.0,1.0,4
0000327_01201_d_0000717,D:\Projects\enemy_detection_project\data\images\0000327_01201_d_0000717.jpg,644.0,0.0,16.0,10.0,1.0,4
0000280_00201_d_0000613,D:\Projects\enemy_detection_project\data\images\0000280_00201_d_0000613.jpg,1132.0,248.0,34.0,24.0,1.0,10
0000295_02400_d_0000033,D:\Projects\enemy_detection_project\data\images\0000295_02400_d_0000033.jpg,1010.0,335.0,7.0,17.0,1.0,1
0000213_03920_d_0000243,D:\Projects\enemy_detection_project\data\images\0000213_03920_d_0000243.jpg,1288.0,434.0,20.0,41.0,1.0,1
0000295_02400_d_0000033,D:\Projects\enemy_detection_project\data\images\0000295_02400_d_0000033.jpg,638.0,265.0,14.0,10.0,1.0,4
0000280_02201_d_0000623,D:\Projects\enemy_detection_project\data\images\0000280_02201_d_0000623.jpg,930.0,390.0,55.0,41.0,1.0,4
0000271_06201_d_0000403,D:\Projects\enemy_detection_project\data\images\0000271_06201_d_0000403.jpg,493.0,179.0,70.0,35.0,1.0,4
0000312_02401_d_0000426,D:\Projects\enemy_detection_project\data\images\0000312_02401_d_0000426.jpg,674.0,268.0,42.0,60.0,1.0,4
0000271_04401_d_0000394,D:\Projects\enemy_detection_project\data\images\0000271_04401_d_0000394.jpg,428.0,112.0,8.0,21.0,1.0,1
0000242_04600_d_0000014,D:\Projects\enemy_detection_project\data\images\0000242_04600_d_0000014.jpg,355.0,231.0,25.0,26.0,1.0,4
0000193_01497_d_0000111,D:\Projects\enemy_detection_project\data\images\0000193_01497_d_0000111.jpg,186.0,331.0,31.0,23.0,1.0,10
0000291_00401_d_0000870,D:\Projects\enemy_detection_project\data\images\0000291_00401_d_0000870.jpg,869.0,419.0,16.0,21.0,1.0,2
0000327_04001_d_0000731,D:\Projects\enemy_detection_project\data\images\0000327_04001_d_0000731.jpg,693.0,253.0,8.0,19.0,1.0,1
0000215_02932_d_0000263,D:\Projects\enemy_detection_project\data\images\0000215_02932_d_0000263.jpg,423.0,68.0,42.0,32.0,1.0,4
0000356_02941_d_0000644,D:\Projects\enemy_detection_project\data\images\0000356_02941_d_0000644.jpg,1274.0,191.0,12.0,19.0,1.0,10
0000280_01601_d_0000620,D:\Projects\enemy_detection_project\data\images\0000280_01601_d_0000620.jpg,202.0,379.0,67.0,43.0,1.0,4
0000193_02606_d_0000117,D:\Projects\enemy_detection_project\data\images\0000193_02606_d_0000117.jpg,521.0,425.0,19.0,27.0,1.0,10
0000271_06801_d_0000406,D:\Projects\enemy_detection_project\data\images\0000271_06801_d_0000406.jpg,700.0,61.0,19.0,22.0,1.0,4
0000193_02606_d_0000117,D:\Projects\enemy_detection_project\data\images\0000193_02606_d_0000117.jpg,502.0,392.0,15.0,31.0,1.0,2
0000289_01001_d_0000816,D:\Projects\enemy_detection_project\data\images\0000289_01001_d_0000816.jpg,825.0,546.0,91.0,124.0,1.0,4
0000330_01601_d_0000808,D:\Projects\enemy_detection_project\data\images\0000330_01601_d_0000808.jpg,536.0,77.0,3.0,6.0,1.0,10
0000359_01177_d_0000705,D:\Projects\enemy_detection_project\data\images\0000359_01177_d_0000705.jpg,163.0,434.0,23.0,72.0,1.0,1
0000333_02549_d_0000014,D:\Projects\enemy_detection_project\data\images\0000333_02549_d_0000014.jpg,730.0,301.0,9.0,16.0,1.0,3
0000291_03201_d_0000884,D:\Projects\enemy_detection_project\data\images\0000291_03201_d_0000884.jpg,781.0,1.0,48.0,19.0,0.0,0
0000289_04401_d_0000833,D:\Projects\enemy_detection_project\data\images\0000289_04401_d_0000833.jpg,862.0,188.0,13.0,35.0,1.0,1
0000193_01497_d_0000111,D:\Projects\enemy_detection_project\data\images\0000193_01497_d_0000111.jpg,758.0,147.0,37.0,17.0,1.0,4
0000289_02601_d_0000824,D:\Projects\enemy_detection_project\data\images\0000289_02601_d_0000824.jpg,687.0,51.0,12.0,20.0,1.0,1
0000289_03801_d_0000830,D:\Projects\enemy_detection_project\data\images\0000289_03801_d_0000830.jpg,837.0,53.0,7.0,24.0,1.0,1
0000213_04998_d_0000245,D:\Projects\enemy_detection_project\data\images\0000213_04998_d_0000245.jpg,810.0,200.0,13.0,31.0,1.0,1
0000276_04201_d_0000528,D:\Projects\enemy_detection_project\data\images\0000276_04201_d_0000528.jpg,710.0,424.0,32.0,39.0,1.0,4
0000289_07001_d_0000846,D:\Projects\enemy_detection_project\data\images\0000289_07001_d_0000846.jpg,947.0,186.0,10.0,19.0,1.0,1
0000086_01954_d_0000005,D:\Projects\enemy_detection_project\data\images\0000086_01954_d_0000005.jpg,442.0,291.0,25.0,54.0,1.0,1
0000289_06201_d_0000842,D:\Projects\enemy_detection_project\data\images\0000289_06201_d_0000842.jpg,750.0,313.0,57.0,46.0,1.0,4
0000327_03001_d_0000726,D:\Projects\enemy_detection_project\data\images\0000327_03001_d_0000726.jpg,693.0,176.0,10.0,11.0,1.0,4
0000154_00001_d_0000001,D:\Projects\enemy_detection_project\data\images\0000154_00001_d_0000001.jpg,545.0,194.0,5.0,6.0,1.0,2
0000291_00201_d_0000869,D:\Projects\enemy_detection_project\data\images\0000291_00201_d_0000869.jpg,693.0,533.0,7.0,15.0,1.0,1
0000001_04527_d_0000008,D:\Projects\enemy_detection_project\data\images\0000001_04527_d_0000008.jpg,975.0,86.0,10.0,16.0,1.0,10
0000086_00000_d_0000001,D:\Projects\enemy_detection_project\data\images\0000086_00000_d_0000001.jpg,82.0,279.0,23.0,53.0,1.0,1
0000360_02745_d_0000727,D:\Projects\enemy_detection_project\data\images\0000360_02745_d_0000727.jpg,636.0,172.0,67.0,39.0,1.0,4
0000295_00600_d_0000024,D:\Projects\enemy_detection_project\data\images\0000295_00600_d_0000024.jpg,918.0,734.0,59.0,31.0,1.0,4
0000213_04998_d_0000245,D:\Projects\enemy_detection_project\data\images\0000213_04998_d_0000245.jpg,1089.0,198.0,35.0,20.0,1.0,10
0000194_00399_d_0000121,D:\Projects\enemy_detection_project\data\images\0000194_00399_d_0000121.jpg,45.0,211.0,6.0,12.0,1.0,2
0000295_02000_d_0000031,D:\Projects\enemy_detection_project\data\images\0000295_02000_d_0000031.jpg,1136.0,489.0,10.0,33.0,1.0,1
0000313_06401_d_0000468,D:\Projects\enemy_detection_project\data\images\0000313_06401_d_0000468.jpg,591.0,548.0,8.0,16.0,1.0,1
0000154_01601_d_0000001,D:\Projects\enemy_detection_project\data\images\0000154_01601_d_0000001.jpg,331.0,279.0,21.0,18.0,1.0,4
0000295_00600_d_0000024,D:\Projects\enemy_detection_project\data\images\0000295_00600_d_0000024.jpg,684.0,634.0,39.0,47.0,1.0,4
0000356_03921_d_0000649,D:\Projects\enemy_detection_project\data\images\0000356_03921_d_0000649.jpg,628.0,129.0,10.0,27.0,1.0,1
0000291_01401_d_0000875,D:\Projects\enemy_detection_project\data\images\0000291_01401_d_0000875.jpg,698.0,246.0,10.0,31.0,1.0,1
0000364_00589_d_0000798,D:\Projects\enemy_detection_project\data\images\0000364_00589_d_0000798.jpg,802.0,490.0,47.0,50.0,1.0,10
0000295_02000_d_0000031,D:\Projects\enemy_detection_project\data\images\0000295_02000_d_0000031.jpg,127.0,611.0,37.0,31.0,1.0,3
0000001_05499_d_0000010,D:\Projects\enemy_detection_project\data\images\0000001_05499_d_0000010.jpg,1308.0,414.0,61.0,58.0,1.0,4
0000335_03725_d_0000062,D:\Projects\enemy_detection_project\data\images\0000335_03725_d_0000062.jpg,291.0,583.0,39.0,70.0,1.0,10
0000295_00800_d_0000025,D:\Projects\enemy_detection_project\data\images\0000295_00800_d_0000025.jpg,390.0,656.0,66.0,86.0,1.0,5
0000327_00801_d_0000715,D:\Projects\enemy_detection_project\data\images\0000327_00801_d_0000715.jpg,956.0,294.0,101.0,41.0,1.0,4
0000291_03601_d_0000886,D:\Projects\enemy_detection_project\data\images\0000291_03601_d_0000886.jpg,911.0,547.0,29.0,36.0,1.0,2
0000153_01601_d_0000001,D:\Projects\enemy_detection_project\data\images\0000153_01601_d_0000001.jpg,503.0,246.0,5.0,7.0,1.0,10
0000155_01601_d_0000001,D:\Projects\enemy_detection_project\data\images\0000155_01601_d_0000001.jpg,253.0,285.0,10.0,26.0,1.0,2
0000360_04117_d_0000734,D:\Projects\enemy_detection_project\data\images\0000360_04117_d_0000734.jpg,1177.0,226.0,44.0,66.0,1.0,1
0000196_04512_d_0000144,D:\Projects\enemy_detection_project\data\images\0000196_04512_d_0000144.jpg,837.0,450.0,27.0,30.0,1.0,4
0000280_03001_d_0000627,D:\Projects\enemy_detection_project\data\images\0000280_03001_d_0000627.jpg,0.0,545.0,35.0,31.0,1.0,10
0000291_02201_d_0000879,D:\Projects\enemy_detection_project\data\images\0000291_02201_d_0000879.jpg,188.0,314.0,21.0,22.0,1.0,2
0000356_03529_d_0000647,D:\Projects\enemy_detection_project\data\images\0000356_03529_d_0000647.jpg,76.0,251.0,42.0,36.0,1.0,4
0000289_04601_d_0000834,D:\Projects\enemy_detection_project\data\images\0000289_04601_d_0000834.jpg,559.0,104.0,43.0,29.0,1.0,8
0000244_04900_d_0000011,D:\Projects\enemy_detection_project\data\images\0000244_04900_d_0000011.jpg,742.0,457.0,41.0,46.0,1.0,7
0000360_03921_d_0000733,D:\Projects\enemy_detection_project\data\images\0000360_03921_d_0000733.jpg,694.0,15.0,9.0,16.0,1.0,2
0000289_04401_d_0000833,D:\Projects\enemy_detection_project\data\images\0000289_04401_d_0000833.jpg,745.0,101.0,39.0,39.0,1.0,4
0000277_03201_d_0000554,D:\Projects\enemy_detection_project\data\images\0000277_03201_d_0000554.jpg,656.0,165.0,73.0,38.0,1.0,4
0000287_02801_d_0000773,D:\Projects\enemy_detection_project\data\images\0000287_02801_d_0000773.jpg,650.0,152.0,9.0,23.0,1.0,2
0000001_05249_d_0000009,D:\Projects\enemy_detection_project\data\images\0000001_05249_d_0000009.jpg,1256.0,981.0,30.0,62.0,1.0,10
0000271_06201_d_0000403,D:\Projects\enemy_detection_project\data\images\0000271_06201_d_0000403.jpg,754.0,22.0,15.0,14.0,1.0,4
0000244_02500_d_0000006,D:\Projects\enemy_detection_project\data\images\0000244_02500_d_0000006.jpg,75.0,438.0,9.0,23.0,1.0,1
0000295_01400_d_0000028,D:\Projects\enemy_detection_project\data\images\0000295_01400_d_0000028.jpg,870.0,337.0,6.0,20.0,1.0,1
0000117_01326_d_0000088,D:\Projects\enemy_detection_project\data\images\0000117_01326_d_0000088.jpg,595.0,480.0,33.0,41.0,1.0,10
0000117_00112_d_0000087,D:\Projects\enemy_detection_project\data\images\0000117_00112_d_0000087.jpg,43.0,192.0,17.0,36.0,1.0,1
0000295_01800_d_0000030,D:\Projects\enemy_detection_project\data\images\0000295_01800_d_0000030.jpg,693.0,293.0,25.0,47.0,1.0,9
0000289_05001_d_0000836,D:\Projects\enemy_detection_project\data\images\0000289_05001_d_0000836.jpg,856.0,574.0,25.0,61.0,1.0,10
0000295_01000_d_0000026,D:\Projects\enemy_detection_project\data\images\0000295_01000_d_0000026.jpg,429.0,341.0,8.0,23.0,1.0,1
0000213_04405_d_0000244,D:\Projects\enemy_detection_project\data\images\0000213_04405_d_0000244.jpg,1103.0,1.0,49.0,43.0,0.0,0
0000327_04201_d_0000732,D:\Projects\enemy_detection_project\data\images\0000327_04201_d_0000732.jpg,376.0,165.0,52.0,21.0,1.0,4
0000330_01601_d_0000808,D:\Projects\enemy_detection_project\data\images\0000330_01601_d_0000808.jpg,795.0,238.0,5.0,21.0,1.0,1
0000296_01001_d_0000040,D:\Projects\enemy_detection_project\data\images\0000296_01001_d_0000040.jpg,1064.0,632.0,163.0,128.0,1.0,4
0000081_00000_d_0000001,D:\Projects\enemy_detection_project\data\images\0000081_00000_d_0000001.jpg,280.0,225.0,9.0,28.0,1.0,1
0000330_02801_d_0000814,D:\Projects\enemy_detection_project\data\images\0000330_02801_d_0000814.jpg,700.0,3.0,35.0,25.0,1.0,4
